Time, X1, Y1, X2, Y2
37080.000000, 49499.831002, -58534.779988, 1588681395.510756, 517968995.992643
37140.000000, 49699.432680, -58661.888057, 1587183853.618821, 522493503.010413
37200.000000, 49899.449034, -58788.859597, 1585673315.661963, 527013732.503109
37260.000000, 50099.879680, -58915.693423, 1584149793.691884, 531529647.355736
37320.000000, 50300.724230, -59042.388352, 1582613299.865202, 536041210.486005
37380.000000, 50501.982295, -59168.943201, 1581063846.443371, 540548384.844621
37440.000000, 50703.653479, -59295.356788, 1579501445.792596, 545051133.415577
37500.000000, 50905.737386, -59421.627934, 1577926110.383749, 549549419.216438
37560.000000, 51108.233615, -59547.755458, 1576337852.792287, 554043205.298637
37620.000000, 51311.141763, -59673.738183, 1574736685.698165, 558532454.747759
37680.000000, 51514.461421, -59799.574932, 1573122621.885751, 563017130.683833
37740.000000, 51718.192179, -59925.264528, 1571495674.243737, 567497196.261618
37800.000000, 51922.333624, -60050.805797, 1569855855.765056, 571972614.670895
37860.000000, 52126.885338, -60176.197564, 1568203179.546790, 576443349.136755
37920.000000, 52331.846900, -60301.438658, 1566537658.790082, 580909362.919883
37980.000000, 52537.217887, -60426.527906, 1564859306.800046, 585370619.316854
38040.000000, 52742.997871, -60551.464139, 1563168136.985677, 589827081.660414
38100.000000, 52949.186422, -60676.246186, 1561464162.859761, 594278713.319770
38160.000000, 53155.783106, -60800.872881, 1559747398.038780, 598725477.700881
38220.000000, 53362.787486, -60925.343056, 1558017856.242822, 603167338.246739
38280.000000, 53570.199121, -61049.655546, 1556275551.295485, 607604258.437664
38340.000000, 53778.017567, -61173.809186, 1554520497.123783, 612036201.791582
38400.000000, 53986.242378, -61297.802812, 1552752707.758056, 616463131.864322
38460.000000, 54194.873104, -61421.635264, 1550972197.331864, 620885012.249895
38520.000000, 54403.909289, -61545.305380, 1549178980.081902, 625301806.580782
38580.000000, 54613.350479, -61668.812000, 1547373070.347891, 629713478.528225
38640.000000, 54823.196212, -61792.153967, 1545554482.572492, 634119991.802507
38700.000000, 55033.446025, -61915.330123, 1543723231.301195, 638521310.153240
38760.000000, 55244.099451, -62038.339313, 1541879331.182229, 642917397.369653
38820.000000, 55455.156020, -62161.180382, 1540022796.966456, 647308217.280875
38880.000000, 55666.615259, -62283.852176, 1538153643.507273, 651693733.756222
38940.000000, 55878.476691, -62406.353544, 1536271885.760505, 656073910.705479
39000.000000, 56090.739837, -62528.683336, 1534377538.784309, 660448712.079188
39060.000000, 56303.404212, -62650.840401, 1532470617.739067, 664818101.868934
39120.000000, 56516.469332, -62772.823592, 1530551137.887281, 669182044.107624
39180.000000, 56729.934706, -62894.631763, 1528619114.593468, 673540502.869777
39240.000000, 56943.799842, -63016.263767, 1526674563.324059, 677893442.271803
39300.000000, 57158.064243, -63137.718461, 1524717499.647283, 682240826.472292
39360.000000, 57372.727410, -63258.994702, 1522747939.233070, 686582619.672293
39420.000000, 57587.788840, -63380.091350, 1520765897.852937, 690918786.115600
39480.000000, 57803.248027, -63501.007263, 1518771391.379879, 695249290.089036
39540.000000, 58019.104463, -63621.741304, 1516764435.788262, 699574095.922731
39600.000000, 58235.357636, -63742.292336, 1514745047.153712, 703893167.990411
39660.000000, 58452.007028, -63862.659222, 1512713241.653002, 708206470.709678
39720.000000, 58669.052123, -63982.840828, 1510669035.563942, 712513968.542289
39780.000000, 58886.492397, -64102.836022, 1508612445.265266, 716815625.994444
39840.000000, 59104.327326, -64222.643672, 1506543487.236517, 721111407.617062
39900.000000, 59322.556381, -64342.262648, 1504462178.057938, 725401278.006067
39960.000000, 59541.179031, -64461.691822, 1502368534.410349, 729685201.802667
40020.000000, 59760.194740, -64580.930066, 1500262573.075038, 733963143.693636
40080.000000, 59979.602971, -64699.976254, 1498144310.933641, 738235068.411592
40140.000000, 60199.403183, -64818.829263, 1496013764.968027, 742500940.735284
40200.000000, 60419.594831, -64937.487969, 1493870952.260177, 746760725.489865
40260.000000, 60640.177367, -65055.951252, 1491715889.992071, 751014387.547176
40320.000000, 60861.150241, -65174.217991, 1489548595.445561, 755261891.826025
40380.000000, 61082.512898, -65292.287069, 1487369086.002255, 759503203.292469
40440.000000, 61304.264782, -65410.157369, 1485177379.143399, 763738286.960088
40500.000000, 61526.405332, -65527.827776, 1482973492.449746, 767967107.890268
40560.000000, 61748.933985, -65645.297175, 1480757443.601444, 772189631.192479
40620.000000, 61971.850174, -65762.564456, 1478529250.377906, 776405822.024556
40680.000000, 62195.153329, -65879.628506, 1476288930.657687, 780615645.592969
40740.000000, 62418.842877, -65996.488218, 1474036502.418362, 784819067.153112
40800.000000, 62642.918242, -66113.142484, 1471771983.736397, 789016052.009574
40860.000000, 62867.378844, -66229.590198, 1469495392.787025, 793206565.516415
40920.000000, 63092.224102, -66345.830256, 1467206747.844116, 797390573.077451
40980.000000, 63317.453429, -66461.861555, 1464906067.280053, 801568040.146523
41040.000000, 63543.066238, -66577.682995, 1462593369.565603, 805738932.227776
41100.000000, 63769.061935, -66693.293475, 1460268673.269783, 809903214.875939
41160.000000, 63995.439926, -66808.691898, 1457931997.059735, 814060853.696597
41220.000000, 64222.199613, -66923.877167, 1455583359.700593, 818211814.346466
41280.000000, 64449.340395, -67038.848189, 1453222780.055351, 822356062.533674
41340.000000, 64676.861667, -67153.603870, 1450850277.084733, 826493564.018031
41400.000000, 64904.762821, -67268.143119, 1448465869.847055, 830624284.611305
41460.000000, 65133.043248, -67382.464847, 1446069577.498097, 834748190.177499
41520.000000, 65361.702333, -67496.567965, 1443661419.290964, 838865246.633123
41580.000000, 65590.739460, -67610.451388, 1441241414.575953, 842975419.947471
41640.000000, 65820.154008, -67724.114030, 1438809582.800415, 847078676.142890
41700.000000, 66049.945355, -67837.554810, 1436365943.508620, 851174981.295058
41760.000000, 66280.112875, -67950.772646, 1433910516.341617, 855264301.533255
41820.000000, 66510.655938, -68063.766458, 1431443321.037099, 859346603.040637
41880.000000, 66741.573913, -68176.535169, 1428964377.429260, 863421852.054507
41940.000000, 66972.866163, -68289.077704, 1426473705.448656, 867490014.866589
42000.000000, 67204.532051, -68401.392987, 1423971325.122069, 871551057.823300
42060.000000, 67436.570935, -68513.479947, 1421457256.572357, 875604947.326020
42120.000000, 67668.982170, -68625.337513, 1418931520.018318, 879651649.831365
42180.000000, 67901.765109, -68736.964615, 1416394135.774548, 883691131.851457
42240.000000, 68134.919102, -68848.360188, 1413845124.251291, 887723359.954196
42300.000000, 68368.443494, -68959.523165, 1411284505.954301, 891748300.763530
42360.000000, 68602.337629, -69070.452483, 1408712301.484694, 895765920.959724
42420.000000, 68836.600848, -69181.147081, 1406128531.538799, 899776187.279631
42480.000000, 69071.232486, -69291.605898, 1403533216.908018, 903779066.516960
42540.000000, 69306.231879, -69401.827876, 1400926378.478675, 907774525.522549
42600.000000, 69541.598358, -69511.811960, 1398308037.231865, 911762531.204628
42660.000000, 69777.331251, -69621.557094, 1395678214.243310, 915743050.529092
42720.000000, 70013.429882, -69731.062227, 1393036930.683206, 919716050.519769
42780.000000, 70249.893575, -69840.326307, 1390384207.816075, 923681498.258684
42840.000000, 70486.721648, -69949.348286, 1387720067.000612, 927639360.886332
42900.000000, 70723.913416, -70058.127117, 1385044529.689532, 931589605.601939
42960.000000, 70961.468195, -70166.661754, 1382357617.429420, 935532199.663735
43020.000000, 71199.385292, -70274.951155, 1379659351.860576, 939467110.389217
43080.000000, 71437.664017, -70382.994278, 1376949754.716862, 943394305.155414
43140.000000, 71676.303672, -70490.790084, 1374228847.825546, 947313751.399156
43200.000000, 71915.303559, -70598.337536, 1371496653.107145, 951225416.617338
43260.000000, 72154.662976, -70705.635597, 1368753192.575272, 955129268.367185
43320.000000, 72394.381218, -70812.683235, 1365998488.336474, 959025274.266517
43380.000000, 72634.457579, -70919.479417, 1363232562.590081, 962913401.994013
43440.000000, 72874.891346, -71026.023115, 1360455437.628040, 966793619.289474
43500.000000, 73115.681806, -71132.313300, 1357667135.834760, 970665893.954089
43560.000000, 73356.828243, -71238.348946, 1354867679.686951, 974530193.850700
43620.000000, 73598.329937, -71344.129030, 1352057091.753461, 978386486.904057
43680.000000, 73840.186167, -71449.652530, 1349235394.695119, 982234741.101090
43740.000000, 74082.396205, -71554.918426, 1346402611.264568, 986074924.491166
43800.000000, 74324.959325, -71659.925700, 1343558764.306103, 989907005.186350
43860.000000, 74567.874794, -71764.673337, 1340703876.755508, 993730951.361672
43920.000000, 74811.141879, -71869.160323, 1337837971.639893, 997546731.255383
43980.000000, 75054.759843, -71973.385645, 1334961072.077525, 1001354313.169215
44040.000000, 75298.727946, -72077.348295, 1332073201.277663, 1005153665.468647
44100.000000, 75543.045444, -72181.047264, 1329174382.540393, 1008944756.583161
44160.000000, 75787.711593, -72284.481547, 1326264639.256459, 1012727555.006502
44220.000000, 76032.725643, -72387.650141, 1323343994.907095, 1016502029.296936
44280.000000, 76278.086843, -72490.552043, 1320412473.063855, 1020268148.077514
